2020-04-22 09:40:23;127.0.0.1;329+1
2020-04-22 09:40:25;127.0.0.1;330+1
2020-04-22 09:40:26;127.0.0.1;331+1
2020-04-22 09:41:17;127.0.0.1;332-1
2020-04-22 09:41:17;127.0.0.1;331-1
2020-04-22 09:41:18;127.0.0.1;330-1
2020-04-22 09:42:38;127.0.0.1;329+1
2020-04-22 09:50:08;127.0.0.1;330+1
2020-04-22 09:53:25;127.0.0.1;331+1
2020-04-22 09:53:53;127.0.0.1;332+1
2020-04-22 09:53:53;127.0.0.1;333+1
2020-04-22 09:53:54;127.0.0.1;334+1
2020-04-22 09:55:32;127.0.0.1;335+1
2020-04-22 09:55:34;127.0.0.1;336+1
2020-04-22 09:58:14;127.0.0.1;337+1
2020-04-22 10:00:29;127.0.0.1;338+1
2020-04-22 10:00:51;127.0.0.1;339+1
2020-04-22 10:01:31;127.0.0.1;123+1
2020-04-22 10:11:19;127.0.0.1;340+1
2020-04-22 10:13:16;127.0.0.1;341+1
2020-04-22 10:15:28;127.0.0.1;342+1
2020-04-22 10:17:06;127.0.0.1;343+1
2020-04-22 10:17:42;127.0.0.1;344+1
2020-04-22 10:18:38;127.0.0.1;345+1
2020-04-22 10:19:21;127.0.0.1;124+1
2020-04-22 10:21:29;127.0.0.1;346+1
2020-04-22 10:24:02;127.0.0.1;347+1
2020-04-22 10:26:51;127.0.0.1;348+1
2020-04-22 10:27:31;127.0.0.1;349+1
2020-04-22 10:28:45;127.0.0.1;125+1
2020-04-22 10:29:02;127.0.0.1;200+1
2020-04-22 10:29:07;127.0.0.1;300+1
2020-04-22 10:31:07;127.0.0.1;200+1
2020-04-22 10:32:49;127.0.0.1;200+1
2020-04-22 10:33:05;127.0.0.1;301+1
2020-04-22 10:33:58;127.0.0.1;350+1
2020-04-22 10:34:04;127.0.0.1;126+1
2020-04-22 10:34:10;127.0.0.1;456+1
2020-04-22 10:34:15;127.0.0.1;201+1
2020-04-22 10:35:38;127.0.0.1;351+1
2020-04-22 10:35:43;127.0.0.1;127+1
2020-04-22 10:35:53;127.0.0.1;202+1
2020-04-22 10:36:18;127.0.0.1;352+1
2020-04-22 10:36:22;127.0.0.1;128+1
2020-04-22 10:36:24;127.0.0.1;203+1
